"","latitude","longitude","brightness","scan","track","acq_date","acq_time","version","bright_t31","frp","daynight","bright_ti4","bright_ti5"
"55",-11.382,-44.96,303,1,1,"2020-10-22",140,"6.0NRT",280.4,5,"N",NA,NA
"56",-12.237,-51.367,301.3,1.9,1.4,"2020-10-22",140,"6.0NRT",281.1,11.5,"N",NA,NA
"57",-12.24,-51.384,308.8,1.9,1.4,"2020-10-22",140,"6.0NRT",278,25,"N",NA,NA
"58",-12.223,-51.35,316.3,1.9,1.4,"2020-10-22",140,"6.0NRT",283.5,35.5,"N",NA,NA
"59",-12.225,-51.368,315.7,1.9,1.4,"2020-10-22",140,"6.0NRT",280.9,36.1,"N",NA,NA
"60",-12.08,-50.371,339.2,1.6,1.3,"2020-10-22",140,"6.0NRT",291.4,81.3,"N",NA,NA
"61",-12.082,-50.386,312,1.6,1.3,"2020-10-22",140,"6.0NRT",289.2,18,"N",NA,NA
"62",-12.219,-51.357,322.9,1.9,1.4,"2020-10-22",140,"6.0NRT",283.9,52.5,"N",NA,NA
"63",-12.079,-50.362,314.9,1.6,1.3,"2020-10-22",140,"6.0NRT",291.3,22.4,"N",NA,NA
"64",-12.081,-50.377,333,1.6,1.3,"2020-10-22",140,"6.0NRT",290.4,62.7,"N",NA,NA
"65",-11.317,-44.891,302.7,1,1,"2020-10-22",140,"6.0NRT",290.8,4,"N",NA,NA
"66",-12.07,-50.379,308.3,1.6,1.3,"2020-10-22",140,"6.0NRT",289.7,13.9,"N",NA,NA
"67",-12.072,-50.393,311.9,1.6,1.3,"2020-10-22",140,"6.0NRT",288.8,19.2,"N",NA,NA
"68",-11.32,-44.976,304.8,1,1,"2020-10-22",140,"6.0NRT",291.3,5.1,"N",NA,NA
"69",-9.863,-36.076,308.1,4.1,1.9,"2020-10-22",140,"6.0NRT",290.9,64.6,"N",NA,NA
"70",-12.499,-54.394,304.7,3.4,1.7,"2020-10-22",140,"6.0NRT",288,28.4,"N",NA,NA
"71",-12.502,-54.424,303.6,3.4,1.7,"2020-10-22",140,"6.0NRT",288.7,24.2,"N",NA,NA
"72",-12.578,-55.114,300.2,3.8,1.8,"2020-10-22",140,"6.0NRT",285.2,23.7,"N",NA,NA
"73",-12.486,-54.426,304.2,3.4,1.7,"2020-10-22",140,"6.0NRT",290,25.3,"N",NA,NA
"74",-9.86,-36.081,308.3,4.1,1.9,"2020-10-22",140,"6.0NRT",290.7,62.8,"N",NA,NA
"75",-12.588,-55.118,302.1,3.8,1.8,"2020-10-22",140,"6.0NRT",283.9,31.1,"N",NA,NA
"76",-12.488,-54.4,315,3.4,1.7,"2020-10-22",140,"6.0NRT",289.9,69.5,"N",NA,NA
"77",-12.491,-54.43,305.1,3.4,1.7,"2020-10-22",140,"6.0NRT",289.8,28.5,"N",NA,NA
"78",-11.702,-48.436,304.9,1.2,1.1,"2020-10-22",140,"6.0NRT",291.8,6.5,"N",NA,NA
"79",-12.055,-51.366,305.8,1.9,1.4,"2020-10-22",140,"6.0NRT",292.4,12.3,"N",NA,NA
"80",-12.041,-51.35,313.4,1.9,1.4,"2020-10-22",140,"6.0NRT",292.8,25.4,"N",NA,NA
"81",-12.043,-51.367,331.5,1.9,1.4,"2020-10-22",140,"6.0NRT",293.2,74.5,"N",NA,NA
"82",-12.037,-51.357,307.5,1.9,1.4,"2020-10-22",140,"6.0NRT",292.7,14.2,"N",NA,NA
"83",-12.039,-51.374,305.5,1.9,1.4,"2020-10-22",140,"6.0NRT",292.6,10.6,"N",NA,NA
"84",-12.471,-55.032,301.4,3.8,1.8,"2020-10-22",140,"6.0NRT",288,24.8,"N",NA,NA
"85",-12.315,-54.096,308.1,3.2,1.7,"2020-10-22",140,"6.0NRT",290.7,37.3,"N",NA,NA
"86",-11.676,-49.332,317.7,1.4,1.2,"2020-10-22",140,"6.0NRT",287.6,23.5,"N",NA,NA
"87",-11.677,-49.344,322.7,1.4,1.2,"2020-10-22",140,"6.0NRT",285.9,31,"N",NA,NA
"88",-11.68,-49.337,325.8,1.4,1.2,"2020-10-22",140,"6.0NRT",287.7,35.8,"N",NA,NA
"89",-11.682,-49.349,305.1,1.4,1.2,"2020-10-22",140,"6.0NRT",284.9,8,"N",NA,NA
"90",-10.892,-43.809,306,1.1,1.1,"2020-10-22",140,"6.0NRT",294.9,7,"N",NA,NA
"91",-10.958,-44.256,313.3,1.1,1,"2020-10-22",140,"6.0NRT",297.2,10.8,"N",NA,NA
"92",-10.951,-44.277,316.1,1.1,1,"2020-10-22",140,"6.0NRT",297.8,13.1,"N",NA,NA
"93",-11.661,-49.352,324.3,1.4,1.2,"2020-10-22",140,"6.0NRT",288.3,32.8,"N",NA,NA
"94",-10.942,-44.278,313.7,1.1,1,"2020-10-22",140,"6.0NRT",296.1,11.6,"N",NA,NA
"95",-10.944,-44.288,315.1,1.1,1,"2020-10-22",140,"6.0NRT",295.6,13,"N",NA,NA
"96",-11.87,-51.244,302.9,1.9,1.3,"2020-10-22",140,"6.0NRT",292.2,8.5,"N",NA,NA
"97",-10.96,-44.782,316.2,1,1,"2020-10-22",140,"6.0NRT",296.9,12.6,"N",NA,NA
"98",-10.819,-44.002,306.9,1.1,1,"2020-10-22",140,"6.0NRT",296.8,6.7,"N",NA,NA
"99",-10.873,-44.628,312.5,1,1,"2020-10-22",140,"6.0NRT",294.7,11.1,"N",NA,NA
"100",-10.763,-44.118,307.4,1.1,1,"2020-10-22",140,"6.0NRT",295.7,6.4,"N",NA,NA
"101",-10.755,-44.129,308,1.1,1,"2020-10-22",140,"6.0NRT",296.2,6.7,"N",NA,NA
"102",-10.885,-45.082,311.3,1,1,"2020-10-22",140,"6.0NRT",294.3,9.8,"N",NA,NA
"103",-10.886,-45.091,320.8,1,1,"2020-10-22",140,"6.0NRT",295,18.3,"N",NA,NA
"104",-10.876,-45.083,309.8,1,1,"2020-10-22",140,"6.0NRT",293.1,9.1,"N",NA,NA
"105",-10.877,-45.092,319.2,1,1,"2020-10-22",140,"6.0NRT",293.6,17.2,"N",NA,NA
"106",-10.8,-45.129,308.8,1,1,"2020-10-22",140,"6.0NRT",293.9,7.5,"N",NA,NA
"107",-11.667,-51.518,303.6,1.9,1.4,"2020-10-22",140,"6.0NRT",279.1,16.9,"N",NA,NA
"108",-10.929,-47.76,324.8,1.1,1,"2020-10-22",140,"6.0NRT",296.4,23.2,"N",NA,NA
"109",-10.931,-47.77,305.6,1.1,1,"2020-10-22",140,"6.0NRT",295.6,4.5,"N",NA,NA
"110",-11.397,-51.405,304.6,1.9,1.3,"2020-10-22",140,"6.0NRT",293.5,9.7,"N",NA,NA
"111",-10.412,-44.237,306.1,1.1,1,"2020-10-22",140,"6.0NRT",295.5,6.4,"N",NA,NA
"112",-11.405,-51.41,306.5,1.9,1.3,"2020-10-22",140,"6.0NRT",293.3,12.8,"N",NA,NA
"113",-10.891,-47.731,314.6,1.1,1,"2020-10-22",140,"6.0NRT",293.4,13.1,"N",NA,NA
"114",-11.14,-49.73,308,1.4,1.2,"2020-10-22",140,"6.0NRT",297.2,10.3,"N",NA,NA
"115",-10.362,-44.285,307.6,1.1,1,"2020-10-22",140,"6.0NRT",295.7,6.9,"N",NA,NA
"116",-10.415,-44.642,306.2,1,1,"2020-10-22",140,"6.0NRT",295.2,6,"N",NA,NA
"117",-10.417,-44.651,311.3,1,1,"2020-10-22",140,"6.0NRT",295.2,9.7,"N",NA,NA
"118",-10.821,-47.64,303.8,1.1,1,"2020-10-22",140,"6.0NRT",293,4.3,"N",NA,NA
"119",-10.702,-47.231,307.8,1,1,"2020-10-22",140,"6.0NRT",294.4,7.3,"N",NA,NA
"120",-10.282,-44.364,321.6,1.1,1,"2020-10-22",140,"6.0NRT",296.2,19.4,"N",NA,NA
"121",-10.273,-44.365,309.5,1.1,1,"2020-10-22",140,"6.0NRT",295.5,8.4,"N",NA,NA
"122",-11.016,-49.899,314.6,1.4,1.2,"2020-10-22",140,"6.0NRT",296.4,18.9,"N",NA,NA
"123",-11.012,-49.905,309.1,1.4,1.2,"2020-10-22",140,"6.0NRT",296.2,12.7,"N",NA,NA
"124",-10.573,-46.769,315,1,1,"2020-10-22",140,"6.0NRT",294.1,12.7,"N",NA,NA
"125",-10.62,-47.306,311.5,1,1,"2020-10-22",140,"6.0NRT",293.8,9.8,"N",NA,NA
"126",-9.537,-40.333,324.1,2,1.4,"2020-10-22",140,"6.0NRT",296.1,52.2,"N",NA,NA
"127",-9.532,-40.322,307,2,1.4,"2020-10-22",140,"6.0NRT",295.9,12.8,"N",NA,NA
"128",-9.535,-40.34,317.1,2,1.4,"2020-10-22",140,"6.0NRT",295.8,33.5,"N",NA,NA
"129",-10.643,-48.071,308.8,1.1,1.1,"2020-10-22",140,"6.0NRT",297.7,7.3,"N",NA,NA
"130",-9.462,-40.279,311.9,2,1.4,"2020-10-22",140,"6.0NRT",296.9,21.5,"N",NA,NA
"131",-10.555,-47.707,306.4,1.1,1,"2020-10-22",140,"6.0NRT",293.1,5.7,"N",NA,NA
"132",-10.556,-47.716,307,1.1,1,"2020-10-22",140,"6.0NRT",293.6,5.9,"N",NA,NA
"133",-10.546,-47.708,322.5,1.1,1,"2020-10-22",140,"6.0NRT",294.4,20,"N",NA,NA
"134",-10.547,-47.718,315.2,1.1,1,"2020-10-22",140,"6.0NRT",294.2,12.3,"N",NA,NA
"135",-10.018,-44.12,306.4,1.1,1,"2020-10-22",140,"6.0NRT",295,6.5,"N",NA,NA
"136",-10.095,-44.774,309.2,1,1,"2020-10-22",140,"6.0NRT",296.6,8.1,"N",NA,NA
"137",-11.252,-53.786,304.4,2.9,1.6,"2020-10-22",140,"6.0NRT",291.2,25,"N",NA,NA
"138",-10.445,-47.569,307.3,1.1,1,"2020-10-22",140,"6.0NRT",295,6.5,"N",NA,NA
"139",-11.267,-54.313,301.7,3.2,1.7,"2020-10-22",140,"6.0NRT",291.1,16.3,"N",NA,NA
"140",-10.447,-47.774,308.1,1.1,1,"2020-10-22",140,"6.0NRT",293.7,7.6,"N",NA,NA
"141",-10.498,-48.145,307.2,1.1,1.1,"2020-10-22",140,"6.0NRT",295.9,6.3,"N",NA,NA
"142",-10.49,-48.157,308.7,1.1,1.1,"2020-10-22",140,"6.0NRT",296.1,7.3,"N",NA,NA
"143",-9.958,-44.468,311.1,1.1,1,"2020-10-22",140,"6.0NRT",297.1,8,"N",NA,NA
"144",-11.27,-54.32,303,3.2,1.7,"2020-10-22",140,"6.0NRT",291.2,21.9,"N",NA,NA
"145",-9.95,-44.479,311.6,1.1,1,"2020-10-22",140,"6.0NRT",297.7,8.2,"N",NA,NA
"146",-9.939,-44.47,309.5,1.1,1,"2020-10-22",140,"6.0NRT",297.5,6.3,"N",NA,NA
